Cultivar,Prev_Colheita,Prev_Receb,Recepcao,Categoria,Status
EXCALIBUR,20724.0,20724.0,21871.0,C1,OK
VELOZ,8208.0,8208.0,5924.0,C1,OK
TITAN,26176.0,26176.0,27382.0,C2,OK
TALISMAN,12208.0,12208.0,12440.0,C2,OK
PONTEIRO,6202.0,6202.0,6474.0,C2,OK
ATON,2950.0,2950.0,3578.0,C2,OK
CALIBRE,17920.0,17920.0,17892.0,S2,OK
TRUNFO,4950.0,4950.0,3958.0,S1,OK
BLANC,9500.0,9500.0,7485.0,S2,OK
MOTRIZ,9105.0,9105.0,9573.0,S1,OK
4025,13000.0,13000.0,14740.0,C1,OK
3026,3250.0,3250.0,4068.0,C1,OK
GLADIADOR,5390.0,5390.0,2791.0,C2,OK
SELVAGEM,6825.0,6825.0,7508.0,C2,OK
FALCÃO,6500.0,6500.0,6532.0,C2,OK
